success,rewards,steps,resources,epsilon,first_success,PGF,I_op
0.0,-21.55,30.0,4.0,0.1,,3.8,0.5
0.0,-25.78,30.0,1.0,0.1,,2.475,0.35
0.0,-22.56,30.0,3.0,0.1,,3.225,0.45000000000000007
0.0,-21.3,30.0,4.0,0.1,,3.8,0.5
0.0,-23.56,30.0,2.0,0.1,,2.85,0.4
0.0,-26.6,30.0,0.0,0.1,,0.1,0.3
0.0,-24.55,30.0,2.0,0.1,,2.85,0.4
0.0,-25.38,30.0,0.0,0.1,,0.1,0.3
0.0,-23.18,30.0,2.0,0.1,,2.85,0.4
0.0,-26.3,30.0,0.0,0.1,,0.1,0.3
0.0,-24.41,30.0,2.0,0.1,,2.85,0.4
0.0,-23.35,30.0,2.0,0.1,,2.85,0.4
0.0,-23.6,30.0,2.0,0.1,,2.85,0.4
0.0,-25.6,30.0,1.0,0.1,,2.475,0.35
0.0,-25.82,30.0,1.0,0.1,,2.475,0.35
0.0,-24.72,30.0,1.0,0.1,,2.475,0.35
0.0,-25.07,30.0,1.0,0.1,,2.475,0.35
0.0,-27.38,30.0,0.0,0.1,,0.1,0.3
0.0,-26.77,30.0,0.0,0.1,,0.1,0.3
0.0,-35.7,29.0,1.0,0.1,,2.475,0.35
0.0,-22.6,30.0,3.0,0.1,,3.225,0.45000000000000007
0.0,-26.32,30.0,1.0,0.1,,2.475,0.35
0.0,-24.7,30.0,2.0,0.1,,2.85,0.4
0.0,-23.34,30.0,3.0,0.1,,3.225,0.45000000000000007
0.0,-25.3,30.0,2.0,0.1,,2.85,0.4
0.0,-23.87,30.0,2.0,0.1,,2.85,0.4
0.0,-23.14,30.0,2.0,0.1,,2.85,0.4
0.0,-21.11,30.0,4.0,0.1,,3.8,0.5
0.0,-25.3,30.0,0.0,0.1,,0.1,0.3
0.0,-23.9,30.0,2.0,0.1,,2.85,0.4
0.0,-26.73,30.0,0.0,0.1,,0.1,0.3
0.0,-22.14,30.0,4.0,0.1,,3.8,0.5
0.0,-24.32,30.0,1.0,0.1,,2.475,0.35
0.0,-22.8,30.0,3.0,0.1,,3.225,0.45000000000000007
0.0,-26.04,30.0,0.0,0.1,,0.1,0.3
0.0,-25.3,30.0,0.0,0.1,,0.1,0.3
