agent,seed,episodes,steps,risk_scale,reward_total,reward_env_total,filename
simbiosis,7,200,,1.2,-59.02245,-59.022449999999964,results\v11\F3\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f1_seed7_m0p0_v11_episodes.csv
simbiosis,7,200,,1.2,-14.221767062053347,-59.022449999999964,results\v11\F3\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f1_seed7_m0p2_v11_episodes.csv
simbiosis,99,200,,1.2,-59.08219999999999,-59.082199999999986,results\v11\F3\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f1_seed99_m0p0_v11_episodes.csv
simbiosis,99,200,,1.2,-14.294499859170246,-59.082199999999986,results\v11\F3\F1_highrisk\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f1_seed99_m0p2_v11_episodes.csv
control,101,200,,1.2,-71.01464999999999,-71.01464999999986,results\v11\F3\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_f2rt0p1_seed101_m0p0_v11_episodes.csv
control,13,200,,1.2,-70.68085,-70.68085000000019,results\v11\F3\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_f2rt0p1_seed13_m0p0_v11_episodes.csv
control,42,200,,1.2,-70.8242,-70.82420000000002,results\v11\F3\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_f2rt0p1_seed42_m0p0_v11_episodes.csv
control,7,200,,1.2,-71.85300000000001,-71.85300000000002,results\v11\F3\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_f2rt0p1_seed7_m0p0_v11_episodes.csv
control,99,200,,1.2,-70.80400000000002,-70.80400000000016,results\v11\F3\F2_redteam\grid16\riskhigh\control\grid16_riskhigh_r1p2_f2rt0p1_seed99_m0p0_v11_episodes.csv
dqn_control,101,200,,1.2,-69.67325,-69.67324999999987,results\v11\F3\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_f2rt0p1_seed101_m0p0_v11_episodes.csv
dqn_control,13,200,,1.2,-68.81495,-68.81494999999987,results\v11\F3\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_f2rt0p1_seed13_m0p0_v11_episodes.csv
dqn_control,42,200,,1.2,-69.84525,-69.84524999999998,results\v11\F3\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_f2rt0p1_seed42_m0p0_v11_episodes.csv
dqn_control,7,200,,1.2,-71.77685,-71.77684999999992,results\v11\F3\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_f2rt0p1_seed7_m0p0_v11_episodes.csv
dqn_control,99,200,,1.2,-68.44949999999999,-68.4494999999999,results\v11\F3\F2_redteam\grid16\riskhigh\dqn_control\grid16_riskhigh_r1p2_f2rt0p1_seed99_m0p0_v11_episodes.csv
