Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg,Starvation,GoalReached
control,76,-59.42,0.0,0.5,0.9733333333333334,0.7,5.499492432787222,0.0,0.3568631944444444,0.0,0,0
control,77,-60.75,0.0,0.5,0.8000000000000003,0.8333333333333334,5.4961932459041645,0.0,0.38373958333333336,0.0,0,0
control,78,-59.21,0.0,0.5,0.9866666666666667,0.7666666666666667,5.4997462163936115,0.0,0.3796534722222222,0.0,0,0
control,79,-59.8,0.0,0.5,1.0,0.9,5.5,0.0,0.3516666666666667,0.0,0,0
control,80,-72.1,0.0,0.5555555555555556,1.0,0.5555555555555556,4.372565311968117,0.14444444444444446,0.39305555555555555,0.08888888888888889,1,0
control,81,-71.3,0.0,0.5454545454545454,1.0,0.7272727272727273,4.5775534370648225,0.10909090909090911,0.436948051948052,0.07272727272727274,1,0
control,82,-72.91,1.0,0.5833333333333334,0.9333333333333332,0.6666666666666666,3.7354905878023623,0.22683333333333333,0.49008333333333337,0.3,1,0
control,83,-60.41,0.0,0.5,0.9866666666666667,0.8,5.4997462163936115,0.0,0.35748449074074073,0.0,0,0
control,84,-59.8,0.0,0.5,1.0,0.8,5.5,0.0,0.3024537037037037,0.0,0,0
control,85,-70.7,0.0,0.5263157894736842,1.0,0.8947368421052632,4.965951989879635,0.06315789473684212,0.3226323384218121,0.042105263157894736,1,0
control,86,-58.4,0.0,0.5,1.0,0.9,5.5,0.0,0.29326779701779704,0.0,0,0
control,87,-59.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.28317520442520444,0.0,0,0
control,88,-59.61,0.0,0.5,0.9866666666666667,0.8333333333333334,5.4997462163936115,0.0,0.30908905423280425,0.0,0,0
control,89,-61.41,0.0,0.5,0.9866666666666667,0.7,5.4997462163936115,0.0,0.28642261904761906,0.0,0,0
control,90,-59.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2784562890812891,0.0,0,0
control,91,-72.89999999999999,0.0,0.5357142857142857,1.0,0.7857142857142857,4.77522055769379,0.09285714285714286,0.340922619047619,0.05714285714285715,1,0
control,92,-72.3,0.0,1.0,1.0,0.0,-4.646912192286944,1.2000000000000002,0.25583333333333336,0.8,1,0
control,93,-59.41,0.0,0.5,0.9866666666666667,0.8333333333333334,5.4997462163936115,0.0,0.30733095238095237,0.0,0,0
control,94,-72.3,0.0,0.5416666666666666,1.0,0.9166666666666666,4.654423983976088,0.10000000000000002,0.35030092592592593,0.06666666666666667,1,0
control,95,-59.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.30337962962962967,0.0,0,0
