episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
186,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
187,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
188,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
189,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
190,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
191,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
192,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
193,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
194,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
195,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
196,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
197,113.60000000000001,20,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
198,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
199,111.60000000000001,8,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
200,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
201,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
202,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
203,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
204,111.60000000000001,8,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
205,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
206,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
207,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
208,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
209,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
210,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
211,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
212,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
213,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
214,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
215,114.60000000000001,6,5,189.0,True,False,0.01,PGF,favorable,10.0,0.4,456
216,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
217,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
218,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
219,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
220,111.59,6,2,185.99,True,False,0.01,PGF,favorable,10.0,0.4,456
221,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
222,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
223,111.60000000000001,8,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
224,111.59,6,2,185.99,True,False,0.01,PGF,favorable,10.0,0.4,456
225,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
226,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
227,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
228,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
229,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
230,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
231,110.50000000000001,7,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
232,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
233,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
234,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
235,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
236,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
237,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
238,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
239,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
240,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
241,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
242,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
243,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
244,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
245,114.60000000000001,6,5,189.0,True,False,0.01,PGF,favorable,10.0,0.4,456
246,112.60000000000001,8,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
247,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
248,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
249,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
250,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
251,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
