episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
256,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
257,PGF,112.4,6,3,188.0,0.6749999999999999,0.3,0.375,2.6666666666666665,6
258,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
259,PGF,111.385,6,2,186.985,0.8999999999999999,0.3,0.375,2.0,6
260,PGF,110.4,6,1,186.0,0.8999999999999999,0.3,0.375,2.0,6
261,PGF,112.4,6,3,188.0,0.6749999999999999,0.3,0.375,2.6666666666666665,6
262,PGF,110.4,6,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
263,PGF,111.4,6,2,187.0,1.2,0.3,0.375,1.5,6
264,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
265,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
266,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
267,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
268,PGF,111.4,6,2,187.0,1.2,0.3,0.375,1.5,6
269,PGF,111.4,6,2,187.0,0.8999999999999999,0.3,0.375,2.0,6
270,PGF,112.4,6,3,188.0,0.7714285714285714,0.3,0.375,2.3333333333333335,6
271,PGF,111.4,6,2,187.0,0.72,0.3,0.375,2.5,6
272,PGF,111.4,6,2,187.0,0.8999999999999999,0.3,0.375,2.0,6
273,PGF,109.97500000000001,8,1,185.975,0.7999999999999999,0.3,0.5,3.0,8
274,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
275,PGF,110.385,6,1,185.985,0.8999999999999999,0.3,0.375,2.0,6
276,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
277,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
278,PGF,110.4,6,1,186.0,0.6,0.3,0.375,3.0,6
279,PGF,110.4,6,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
280,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
281,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
282,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
283,PGF,111.4,6,2,187.0,1.7999999999999998,0.3,0.375,1.0,6
284,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
285,PGF,110.4,6,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
286,PGF,111.4,6,2,187.0,1.7999999999999998,0.3,0.375,1.0,6
287,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
288,PGF,111.4,6,2,187.0,0.72,0.3,0.375,2.5,6
289,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
290,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
291,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
292,PGF,110.4,6,1,186.0,0.6,0.3,0.375,3.0,6
293,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
294,PGF,111.4,6,2,187.0,0.72,0.3,0.375,2.5,6
295,PGF,112.4,6,3,188.0,0.6,0.3,0.375,3.0,6
296,PGF,110.4,6,1,186.0,0.8999999999999999,0.3,0.375,2.0,6
