episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
225,PGF,22.4,122.39999999999992,0,2,30,False,0,0,0.01,1.0,0.4,42,4
226,PGF,26.6,226.60000000000014,0,4,30,False,0,0,0.01,1.0,0.4,42,4
227,PGF,29.0,329.00000000000006,0,6,30,False,0,0,0.01,1.0,0.4,42,4
228,PGF,25.0,124.99999999999996,0,2,30,False,0,0,0.01,1.0,0.4,42,4
229,PGF,23.4,123.39999999999995,0,2,30,False,0,0,0.01,1.0,0.4,42,4
230,PGF,27.4,327.4000000000001,0,6,30,False,0,0,0.01,1.0,0.4,42,4
231,PGF,23.4,173.39999999999998,0,3,30,False,0,0,0.01,1.0,0.4,42,4
232,PGF,24.8,174.79999999999995,0,3,30,False,0,0,0.01,1.0,0.4,42,4
233,PGF,28.0,278.00000000000006,0,5,30,False,0,0,0.01,1.0,0.4,42,4
234,PGF,26.0,175.99999999999997,0,3,30,False,0,0,0.01,1.0,0.4,42,4
235,PGF,28.0,278.00000000000006,0,5,30,False,0,0,0.01,1.0,0.4,42,4
236,PGF,23.8,73.8,0,1,30,False,0,0,0.01,1.0,0.4,42,4
237,PGF,23.599999999999998,173.59999999999997,0,3,30,False,0,0,0.01,1.0,0.4,42,4
238,PGF,26.2,276.20000000000005,0,5,30,False,0,0,0.01,1.0,0.4,42,4
239,PGF,22.8,122.79999999999995,0,2,30,False,0,0,0.01,1.0,0.4,42,4
240,PGF,28.799999999999997,328.8000000000001,0,6,30,False,0,0,0.01,1.0,0.4,42,4
241,PGF,25.0,124.99999999999999,0,2,30,False,0,0,0.01,1.0,0.4,42,4
242,PGF,24.38,74.37999999999994,1,3,30,False,0,0,0.01,1.0,0.4,42,4
243,PGF,24.0,174.00000000000006,0,3,30,False,0,0,0.01,1.0,0.4,42,4
244,PGF,26.400000000000002,276.40000000000015,0,5,30,False,0,0,0.01,1.0,0.4,42,4
245,PGF,25.6,175.60000000000002,0,3,30,False,0,0,0.01,1.0,0.4,42,4
246,PGF,22.6,22.6,0,0,30,False,0,0,0.01,1.0,0.4,42,4
247,PGF,23.6,123.59999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
248,PGF,23.4,173.39999999999998,0,3,30,False,0,0,0.01,1.0,0.4,42,4
249,PGF,21.2,71.19999999999999,0,1,30,False,0,0,0.01,1.0,0.4,42,4
250,PGF,22.4,122.39999999999992,0,2,30,False,0,0,0.01,1.0,0.4,42,4
251,PGF,27.6,327.6000000000001,0,6,30,False,0,0,0.01,1.0,0.4,42,4
252,PGF,22.6,72.59999999999995,0,1,30,False,0,0,0.01,1.0,0.4,42,4
253,PGF,26.400000000000002,226.39999999999998,0,4,30,False,0,0,0.01,1.0,0.4,42,4
254,PGF,23.0,23.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
255,PGF,30.0,380.0000000000001,0,7,30,False,0,0,0.01,1.0,0.4,42,4
256,PGF,26.8,226.8,0,4,30,False,0,0,0.01,1.0,0.4,42,4
257,PGF,24.0,174.0,0,3,30,False,0,0,0.01,1.0,0.4,42,4
258,PGF,22.0,71.99999999999999,0,1,30,False,0,0,0.01,1.0,0.4,42,4
259,PGF,22.4,122.39999999999998,0,2,30,False,0,0,0.01,1.0,0.4,42,4
260,PGF,24.6,224.60000000000014,0,4,30,False,0,0,0.01,1.0,0.4,42,4
261,PGF,27.0,277.0000000000001,0,5,30,False,0,0,0.01,1.0,0.4,42,4
262,PGF,27.0,227.00000000000006,0,4,30,False,0,0,0.01,1.0,0.4,42,4
263,PGF,25.8,225.80000000000018,0,4,30,False,0,0,0.01,1.0,0.4,42,4
264,PGF,24.0,173.99999999999994,0,3,30,False,0,0,0.01,1.0,0.4,42,4
265,PGF,26.0,175.99999999999997,0,3,30,False,0,0,0.01,1.0,0.4,42,4
266,PGF,22.19,-27.810000000000024,1,1,30,False,0,0,0.01,1.0,0.4,42,4
267,PGF,20.0,20.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
268,PGF,24.400000000000002,124.39999999999996,0,2,30,False,0,0,0.01,1.0,0.4,42,4
269,PGF,25.0,124.99999999999996,0,2,30,False,0,0,0.01,1.0,0.4,42,4
270,PGF,27.0,227.0,0,4,30,False,0,0,0.01,1.0,0.4,42,4
271,PGF,28.0,278.0000000000001,0,5,30,False,0,0,0.01,1.0,0.4,42,4
272,PGF,24.0,73.99999999999997,0,1,30,False,0,0,0.01,1.0,0.4,42,4
273,PGF,29.0,329.0000000000001,0,6,30,False,0,0,0.01,1.0,0.4,42,4
274,PGF,25.0,124.99999999999996,0,2,30,False,0,0,0.01,1.0,0.4,42,4
275,PGF,24.0,73.99999999999999,0,1,30,False,0,0,0.01,1.0,0.4,42,4
276,PGF,26.6,226.60000000000014,0,4,30,False,0,0,0.01,1.0,0.4,42,4
277,PGF,25.580000000000002,125.57999999999994,1,4,30,False,0,0,0.01,1.0,0.4,42,4
278,PGF,26.0,176.00000000000003,0,3,30,False,0,0,0.01,1.0,0.4,42,4
279,PGF,26.0,176.0,0,3,30,False,0,0,0.01,1.0,0.4,42,4
280,PGF,24.0,74.0,0,1,30,False,0,0,0.01,1.0,0.4,42,4
281,PGF,23.0,23.0,0,0,30,False,0,0,0.01,1.0,0.4,42,4
282,PGF,27.0,227.00000000000006,0,4,30,False,0,0,0.01,1.0,0.4,42,4
283,PGF,25.8,225.80000000000013,0,4,30,False,0,0,0.01,1.0,0.4,42,4
284,PGF,26.6,276.60000000000014,0,5,30,False,0,0,0.01,1.0,0.4,42,4
285,PGF,22.4,22.4,0,0,30,False,0,0,0.01,1.0,0.4,42,4
286,PGF,28.0,278.0000000000001,0,5,30,False,0,0,0.01,1.0,0.4,42,4
287,PGF,21.4,21.4,0,0,30,False,0,0,0.01,1.0,0.4,42,4
288,PGF,28.6,328.6,0,6,30,False,0,0,0.01,1.0,0.4,42,4
289,PGF,25.0,124.99999999999997,0,2,30,False,0,0,0.01,1.0,0.4,42,4
290,PGF,26.0,175.99999999999994,0,3,30,False,0,0,0.01,1.0,0.4,42,4
291,PGF,24.0,73.99999999999999,0,1,30,False,0,0,0.01,1.0,0.4,42,4
292,PGF,25.6,175.60000000000008,0,3,30,False,0,0,0.01,1.0,0.4,42,4
293,PGF,23.6,173.60000000000002,0,3,30,False,0,0,0.01,1.0,0.4,42,4
294,PGF,27.19,177.19,1,5,30,False,0,0,0.01,1.0,0.4,42,4
295,PGF,25.6,175.60000000000005,0,3,30,False,0,0,0.01,1.0,0.4,42,4
296,PGF,28.0,278.00000000000006,0,5,30,False,0,0,0.01,1.0,0.4,42,4
