phase,agent,grid_size,seed,risk_scale,risk_level,red_team,pgf_mix,n_episodes_total,n_episodes_env,pct_tripwires,mean_reward_total,median_reward_total,iqr_reward_total,cvar05_reward_total,max_drawdown_reward_total,mean_reward_env_total,median_reward_env_total,iqr_reward_env_total,cvar05_reward_env_total,max_drawdown_reward_env_total,file
F2_redteam,control,8,101,1.2,high,True,0.2,200,200,0.5,-71.92815,-72.5,0.0,-73.861,14372.630000000001,-71.92815,-72.5,0.0,-73.861,14372.630000000001,results/v11/F2_redteam/grid8/riskhigh/control/grid8_riskhigh_r1p2_seed101_v11_episodes.csv
F2_redteam,control,16,7,1.2,high,True,0.2,200,200,1.0,-71.85300000000001,-72.5,0.0,-73.941,14307.570000000005,-71.85300000000001,-72.5,0.0,-73.941,14307.570000000005,results/v11/F2_redteam/grid16/riskhigh/control/grid16_riskhigh_r1p2_seed7_v11_episodes.csv
F2_redteam,control,16,13,1.2,high,True,0.2,200,200,2.5,-70.68085,-72.1,1.2974999999999994,-74.76500000000001,14072.770000000039,-70.68085,-72.1,1.2974999999999994,-74.76500000000001,14072.770000000039,results/v11/F2_redteam/grid16/riskhigh/control/grid16_riskhigh_r1p2_seed13_v11_episodes.csv
F2_redteam,control,16,42,1.2,high,True,0.2,200,200,0.0,-70.8242,-72.5,1.0,-75.047,14104.430000000004,-70.8242,-72.5,1.0,-75.047,14104.430000000004,results/v11/F2_redteam/grid16/riskhigh/control/grid16_riskhigh_r1p2_seed42_v11_episodes.csv
F2_redteam,control,16,99,1.2,high,True,0.2,200,200,3.0,-70.80400000000002,-72.7,1.3999999999999915,-75.22800000000001,14086.700000000032,-70.80400000000002,-72.7,1.3999999999999915,-75.22800000000001,14086.700000000032,results/v11/F2_redteam/grid16/riskhigh/control/grid16_riskhigh_r1p2_seed99_v11_episodes.csv
F2_redteam,control,16,101,1.2,high,True,0.2,200,200,1.0,-71.01464999999999,-73.3,1.4475000000000051,-74.88199999999999,14144.529999999972,-71.01464999999999,-73.3,1.4475000000000051,-74.88199999999999,14144.529999999972,results/v11/F2_redteam/grid16/riskhigh/control/grid16_riskhigh_r1p2_seed101_v11_episodes.csv
F2_redteam,dqn_control,8,7,1.2,high,True,0.2,200,200,1.5,-71.98859999999999,-72.5,0.20000000000000284,-74.325,14334.499999999989,-71.98859999999999,-72.5,0.20000000000000284,-74.325,14334.499999999989,results/v11/F2_redteam/grid8/riskhigh/dqn_control/grid8_riskhigh_r1p2_seed7_v11_episodes.csv
F2_redteam,dqn_control,8,13,1.2,high,True,0.2,200,200,6.0,-70.0187,-72.3,8.649999999999991,-75.78599999999999,13937.739999999972,-70.0187,-72.3,8.649999999999991,-75.78599999999999,13937.739999999972,results/v11/F2_redteam/grid8/riskhigh/dqn_control/grid8_riskhigh_r1p2_seed13_v11_episodes.csv
F2_redteam,dqn_control,8,42,1.2,high,True,0.2,200,200,1.0,-71.01065,-72.3,0.7999999999999972,-76.087,14138.16999999998,-71.01065,-72.3,0.7999999999999972,-76.087,14138.16999999998,results/v11/F2_redteam/grid8/riskhigh/dqn_control/grid8_riskhigh_r1p2_seed42_v11_episodes.csv
F2_redteam,dqn_control,8,99,1.2,high,True,0.2,200,200,4.0,-71.33465,-72.5,0.8100000000000023,-75.124,14200.929999999988,-71.33465,-72.5,0.8100000000000023,-75.124,14200.929999999988,results/v11/F2_redteam/grid8/riskhigh/dqn_control/grid8_riskhigh_r1p2_seed99_v11_episodes.csv
