total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,epsilon,seed,transition_triggered
18.5,18.5,30,0,0,0,0,0,191,0.25,1,91,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,192,0.25,1,92,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,193,0.25,1,93,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,194,0.25,1,94,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,195,0.25,1,95,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,196,0.25,1,96,0.0,0.01,42,0
18.69,-6.310000000000002,30,0,0,0,0,1,197,0.25,1,97,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,198,0.25,1,98,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,199,0.25,1,99,0.0,0.01,42,1
18.7,18.7,30,0,0,0,0,0,200,0.5,2,0,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,201,0.5,2,1,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,202,0.5,2,2,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,203,0.5,2,3,0.0,0.01,42,0
18.9,18.9,30,0,0,0,0,0,204,0.5,2,4,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,205,0.5,2,5,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,206,0.5,2,6,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,207,0.5,2,7,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,208,0.5,2,8,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,209,0.5,2,9,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,210,0.5,2,10,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,211,0.5,2,11,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,212,0.5,2,12,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,213,0.5,2,13,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,214,0.5,2,14,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,215,0.5,2,15,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,216,0.5,2,16,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,217,0.5,2,17,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,218,0.5,2,18,0.0,0.01,42,0
