episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
40,Control,2142.185000000001,30,0,2224.985,2.1,0.3,0.4375,1.0,7
41,Control,2142.185000000001,30,0,2224.985,2.1,0.3,0.4375,1.0,7
42,Control,2143.1750000000006,30,1,2225.975,0.7000000000000001,0.3,0.4375,3.0,7
43,Control,2143.1750000000006,30,1,2225.975,0.7000000000000001,0.3,0.4375,3.0,7
44,Control,2143.1750000000006,30,1,2225.975,0.7000000000000001,0.3,0.4375,3.0,7
45,Control,2143.2000000000007,30,1,2226.0,1.05,0.3,0.4375,2.0,7
46,Control,2143.185000000001,30,1,2225.985,1.05,0.3,0.4375,2.0,7
47,Control,2143.1750000000006,30,1,2225.975,0.7000000000000001,0.3,0.4375,3.0,7
48,Control,2143.1750000000006,30,1,2225.975,1.05,0.3,0.4375,2.0,7
49,Control,2144.1750000000006,30,2,2226.975,1.4000000000000001,0.3,0.4375,1.5,7
50,Control,2143.1750000000006,30,1,2225.975,2.1,0.3,0.4375,1.0,7
51,Control,1972.3750000000007,30,0,2054.975,2.4,0.3,0.5,1.0,8
52,Control,2142.1750000000006,30,0,2224.975,2.1,0.3,0.4375,1.0,7
53,Control,2143.1750000000006,30,1,2225.975,2.1,0.3,0.4375,1.0,7
54,Control,2143.1900000000005,30,1,2225.99,1.05,0.3,0.4375,2.0,7
55,Control,2145.1750000000006,30,3,2227.975,1.26,0.3,0.4375,1.6666666666666667,7
56,Control,2143.1750000000006,30,1,2225.975,1.05,0.3,0.4375,2.0,7
57,Control,2143.1750000000006,30,1,2225.975,2.1,0.3,0.4375,1.0,7
58,Control,2143.1900000000005,30,1,2225.99,0.7000000000000001,0.3,0.4375,3.0,7
59,Control,2144.1750000000006,30,2,2226.975,1.4000000000000001,0.3,0.4375,1.5,7
60,Control,2142.1750000000006,30,0,2224.975,2.1,0.3,0.4375,1.0,7
61,Control,2142.1750000000006,30,0,2224.975,2.1,0.3,0.4375,1.0,7
62,Control,2142.1900000000005,30,0,2224.99,2.1,0.3,0.4375,1.0,7
63,Control,2143.1750000000006,30,1,2225.975,1.05,0.3,0.4375,2.0,7
64,Control,2143.1900000000005,30,1,2225.99,0.7000000000000001,0.3,0.4375,3.0,7
65,Control,2142.1900000000005,30,0,2224.99,2.1,0.3,0.4375,1.0,7
66,Control,2057.390000000001,30,0,2139.99,2.4,0.3,0.5,1.0,8
67,Control,2143.1900000000005,30,1,2225.99,2.1,0.3,0.4375,1.0,7
68,Control,2143.1900000000005,30,1,2225.99,0.525,0.3,0.4375,4.0,7
69,Control,2142.1900000000005,30,0,2224.99,2.1,0.3,0.4375,1.0,7
70,Control,2058.390000000001,30,1,2140.99,0.7999999999999999,0.3,0.5,3.0,8
71,Control,2144.1900000000005,30,2,2226.99,0.8400000000000001,0.3,0.4375,2.5,7
72,Control,2144.1900000000005,30,2,2226.99,0.8400000000000001,0.3,0.4375,2.5,7
73,Control,2058.390000000001,30,1,2140.99,1.2,0.3,0.5,2.0,8
74,Control,2144.1900000000005,30,2,2226.99,1.4000000000000001,0.3,0.4375,1.5,7
75,Control,2142.1900000000005,30,0,2224.99,2.1,0.3,0.4375,1.0,7
76,Control,2142.1900000000005,30,0,2224.99,2.1,0.3,0.4375,1.0,7
77,Control,2145.1900000000005,30,3,2227.99,0.9,0.3,0.4375,2.3333333333333335,7
78,Control,2142.1900000000005,30,0,2224.99,2.1,0.3,0.4375,1.0,7
79,Control,2143.1900000000005,30,1,2225.99,0.525,0.3,0.4375,4.0,7
80,Control,2142.1900000000005,30,0,2224.99,2.1,0.3,0.4375,1.0,7
81,Control,2142.1900000000005,30,0,2224.99,2.1,0.3,0.4375,1.0,7
82,Control,1973.3900000000006,30,1,2055.99,0.7000000000000001,0.3,0.4375,3.0,7
83,Control,2143.1900000000005,30,1,2225.99,2.1,0.3,0.4375,1.0,7
