episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
186,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
187,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
188,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
189,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
190,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
191,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
192,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
193,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
194,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
195,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
196,110.60000000000001,8,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
197,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
198,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
199,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
200,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
201,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
202,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
203,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
204,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
205,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
206,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
207,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
208,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
209,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
