episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
172,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
173,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
174,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
175,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
176,PGF,115.97,115.97,3,1,6,True,0,0,0.01,0.0,0.4,42,4
177,PGF,111.98,111.98,2,0,21,True,0,0,0.01,0.0,0.4,42,4
178,PGF,114.78,114.78,2,0,7,True,0,0,0.01,0.0,0.4,42,4
179,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
180,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
181,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
182,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
183,PGF,116.98,116.98,2,2,6,True,0,0,0.01,0.0,0.4,42,4
184,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
185,PGF,114.58,114.58,2,0,8,True,0,0,0.01,0.0,0.4,42,4
186,PGF,116.98,116.98,2,2,6,True,0,0,0.01,0.0,0.4,42,4
187,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
188,PGF,116.98,116.98,2,2,6,True,0,0,0.01,0.0,0.4,42,4
189,PGF,116.98,116.98,2,2,6,True,0,0,0.01,0.0,0.4,42,4
190,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
191,PGF,20.979999999999997,20.979999999999997,2,0,30,False,0,0,0.01,0.0,0.4,42,4
192,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
193,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
194,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
195,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
196,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
197,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
198,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
199,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
200,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
201,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
202,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
203,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
204,PGF,113.99,113.99,1,1,16,True,0,0,0.01,0.0,0.4,42,4
205,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
206,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
207,PGF,112.79,112.79,1,1,22,True,0,0,0.01,0.0,0.4,42,4
208,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
209,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
210,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
211,PGF,115.79,115.79,1,1,7,True,0,0,0.01,0.0,0.4,42,4
212,PGF,114.19,114.19,1,0,10,True,0,0,0.01,0.0,0.4,42,4
213,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
214,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
215,PGF,112.79,112.79,1,1,22,True,0,0,0.01,0.0,0.4,42,4
216,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
217,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
218,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
219,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
220,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
221,PGF,114.79,114.79,1,0,8,True,0,0,0.01,0.0,0.4,42,4
222,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
223,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
224,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
225,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
226,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
227,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
228,PGF,115.79,115.79,1,1,7,True,0,0,0.01,0.0,0.4,42,4
229,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
230,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
231,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
232,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
233,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
234,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
235,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
